NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
229.0,201902908,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,TALENT MANAGEMENT DEPARTMENT,TALENT MANAGEMENT SENIOR ANALYST,1.0,0.9520833333333334,0.025,1.0178125,0.9422222222222221,1.0
230.0,202003797,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,TALENT MANAGEMENT DEPARTMENT,TALENT MANAGEMENT SENIOR ANALYST,0.9968,0.8421875000000001,0.025,0.9986081250000001,0.9577777777777778,1.0
231.0,201903447,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,TALENT MANAGEMENT DEPARTMENT,TALENT MANAGEMENT SENIOR ANALYST,1.0,0.9822916666666668,0.01,1.00734375,1.0222222222222221,1.0
232.0,201100427,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TRAINING & TALENT DEVELOPMENT DEPARTMENT HEAD,0.994,0.978125,0.035,1.02661875,1.0355555555555556,1.0
233.0,199700104,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING OFFICER,1.0,0.9734375,0.025,1.021015625,1.0444444444444445,1.0
234.0,199100025,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING SENIOR OFFICER,1.0,0.953125,0.025,1.0179687499999999,1.0044444444444445,1.0
235.0,199500056,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING SENIOR OFFICER,1.0,0.93125,0.015,1.0046875,1.011111111111111,1.0
236.0,199400045,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING SENIOR OFFICER,1.0,0.9828125,0.015,1.0124218749999998,1.0533333333333335,1.0
237.0,199600075,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING SENIOR OFFICER,1.0,0.9765625,0.025,1.021484375,1.0822222222222222,1.0
238.0,200600267,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,KALLA TOYOTA LEARNING SENIOR OFFICER,1.0,0.9380208333333332,0.025,1.015703125,1.1511111111111112,1.0
239.0,201600733,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TALENT & LEADERSHIP DEVELOPMENT ASSOCIATES,0.994,0.7802083333333333,0.03,0.99193125,0.988888888888889,1.0
240.0,201903372,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TALENT & LEADERSHIP DEVELOPMENT SENIOR ANALYST,1.0,0.8630208333333333,0.01,0.989453125,1.0266666666666666,1.0
241.0,201300496,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TRAINING & TALENT DEVELOPMENT ADMINISTRATION SENIOR ANALYST,1.0,0.8515625000000001,0.025,1.002734375,1.0022222222222221,1.0
242.0,201903091,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TRAINING SENIOR ANALYST,1.0,0.990625,0.02,1.01859375,1.1377777777777778,1.0
243.0,201500609,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,TRAINING & TALENT DEVELOPMENT DEPARTMENT,TRAINING SENIOR ANALYST,1.0,0.9625,0.025,1.019375,1.1577777777777778,1.0
244.0,201300537,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,TREASURY & ASET MANAGEMENT DIVISION,TREASURY & ASET MANAGEMENT DIVISION HEAD,0.953,0.9359375,0.0,0.9504406249999999,1.0911111111111111,0.0
245.0,199400047,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,TREASURY & ASET MANAGEMENT DIVISION,TREASURY & INVESTOR RELATION SENIOR SPECIALIST,0.953,0.8734375,0.02,0.9610656249999999,1.1533333333333333,1.0
246.0,201903368,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,VENDOR MANAGEMENT DEPARTMENT,VENDOR MANAGEMENT DEPARTMENT HEAD,1.0,0.9166666666666669,0.02,1.0075,1.011111111111111,1.0
247.0,201300526,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,VENDOR MANAGEMENT DEPARTMENT,VENDOR MANAGEMENT ASSOCIATES,1.0,0.9921875,0.03,1.028828125,1.1266666666666667,1.0
248.0,201000359,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,VENDOR MANAGEMENT DEPARTMENT,VENDOR MANAGEMENT ASSOCIATES,1.0,0.9541666666666668,0.01,1.003125,1.1044444444444443,1.0
249.0,201500631,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,VENDOR MANAGEMENT DEPARTMENT,VENDOR MANAGEMENT SENIOR ANALYST,1.0,1.0,0.015,1.015,1.1088888888888888,1.0
250.0,200400212,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,VENDOR MANAGEMENT DEPARTMENT,VENDOR MANAGEMENT SENIOR ANALYST,1.0,0.9817708333333334,0.02,1.017265625,1.1022222222222222,1.0
362.0,198900028,PT. BUMI KARSA,EXECUTIVE LEADERS,HEADQUARTERS,DIRECTOR,CHIEF OPERATION OFFICER,0.985,0.9135416666666668,0.01,0.98428125,1.0,1.0
363.0,198200002,PT. BUMI KARSA,OPERATIONAL LEADERS,HEAD OFFICE,BUILDING & MEP CONSTRUCTION DEPARTMENT,BUILDING & MEP CONSTRUCTION MANAGER,0.495,0.9546875,0.01,0.5739531250000001,1.017777777777778,1.0
364.0,200800363,PT. BUMI KARSA,OPERATIONAL LEADERS,HEAD OFFICE,EQUIPMENT DEPARTMENT,DEPUTY EQUIPMENT MANAGER,0.981,0.9911458333333334,0.01,0.992521875,1.1237037037037039,0.5
365.0,198800019,PT. BUMI KARSA,OPERATIONAL LEADERS,HEAD OFFICE,EQUIPMENT DEPARTMENT,EQUIPMENT MANAGER,0.981,1.0,0.02,1.00385,1.017777777777778,1.0
366.0,201390516,PT. BUMI KARSA,OPERATIONAL LEADERS,HEAD OFFICE,EQUIPMENT DEPARTMENT,NON JOB,0.981,1.0,0.0,0.98385,1.0,0.7
367.0,199700164,PT. BUMI KARSA,OPERATIONAL LEADERS,HEAD OFFICE,"PLANNING, RESEARCH & DEVELOPMENT DEPARTMENT",STAFF AHLI,0.912,0.95625,0.01,0.9286375,1.0,0.6
368.0,200800367,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,ACCOUNTING DEPARTMENT,PJS. ACCOUNTING MANAGER,1.0,0.9947916666666669,0.025,1.02421875,1.077777777777778,1.0
369.0,200900361,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,ASSET MANAGEMENT DIVISION,GENERAL MANAGER ASSET MANAGEMENT,0.971,0.9458333333333332,0.025,0.9922249999999999,1.051111111111111,1.0
370.0,201903404,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,BUSSINES DEVELOPMENT DEPARTMENT,BUSINESS DEVELOPMENT MANAGER,0.928,0.99375,0.025,0.9628625000000001,1.1777777777777778,1.0
371.0,201801133,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,FINANCE DEPARTMENT,FINANCE DEPARTMENT HEAD,0.988,0.984375,0.045,1.0324562499999999,1.1022222222222222,1.0
372.0,198700019,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR MANAGER,0.974,1.0,0.0,0.9779,1.0444444444444445,0.0
373.0,200700327,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,HUMAN CAPITAL DEPARTMENT,HCBP MANAGER,0.995,0.9979166666666668,0.04,1.0354375,1.1266666666666667,1.0
374.0,198900024,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,PEMASARAN DEPARTMENT,MARKETING (NON PU) MANAGER,0.72,0.98125,0.01,0.7691875,1.0,0.9
375.0,200800353,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,PEMASARAN DEPARTMENT,MARKETING (PU) MANAGER,0.9387,0.990625,0.025,0.9714887499999999,1.097777777777778,1.0
376.0,201000478,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,PEMASARAN DIVISION,PEMASARAN GENERAL MANAGER,0.8842,1.0,0.025,0.92657,1.0711111111111111,1.0
377.0,201100542,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,"PLANNING, RESEARCH & DEVELOPMENT DEPARTMENT","PLANNING, RESEARCH & DEVELOPMENT MANAGER",0.967,0.9895833333333331,0.025,0.9953875,1.1600000000000001,0.0
378.0,200300237,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,PROJECT DEPARTMENT,KEPALA PROYEK (SITE MANAGER),0.75,0.94375,0.01,0.7890625,1.0,1.0
379.0,199500094,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,PURCHASING DEPARTMENT,PURCHASING MANAGER,0.991,0.9958333333333332,0.025,1.0167249999999999,1.108888888888889,1.0
380.0,200800352,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,QMS & HSE DEPARTMENT,QMS & HSE MANAGER,0.995,0.9958333333333332,0.025,1.020125,1.1400000000000001,1.0
381.0,199000025,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,REKAYASA & PENGEMBANGAN DIVISION,REKAYASA & PENGEMBANGAN GENERAL MANAGER,0.9718,1.0,0.015,0.99103,1.1600000000000001,1.0
382.0,200800359,PT. BUMI KARSA,OPERATIONAL LEADERS,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TECHNICAL ADMINISTRATION MANAGER,1.0,0.9947916666666669,0.01,1.00921875,1.1600000000000001,1.0
384.0,198900023,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK BATANG ASAI,PROJECT DEPARTMENT,KEPALA PROYEK,0.891,1.0,0.01,0.91735,1.1044444444444443,0.6
385.0,201200682,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK BENDUNG BUDONG BUDONG MAMUJU,PROJECT DEPARTMENT,KEPALA PROYEK,0.935,0.9947916666666669,0.02,0.96396875,1.017777777777778,0.7
386.0,198600018,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK IRIGASI BALIASE KIRI LUWU UTARA,PROJECT DEPARTMENT,KEPALA PROYEK,0.946,0.9713541666666669,0.01,0.959803125,0.9933333333333333,1.0
387.0,201200679,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK IRIGASI PAMANUKAN SUBANG,PROJECT DEPARTMENT,KEPALA PROYEK,1.0,0.978125,0.02,1.01671875,1.1444444444444444,0.925
388.0,201100544,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK IRIGASI RENTANG LS004,PROJECT DEPARTMENT,KEPALA PROYEK,0.97,1.0,0.04,1.0145,1.1266666666666667,0.825
389.0,201100550,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK IRIGASI RENTANG LS008,PROJECT DEPARTMENT,KEPALA PROYEK,1.0,0.9875,0.025,1.0231249999999998,1.0466666666666669,1.0
390.0,199700161,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK JALAN MAJENE-POLEWALI,PROJECT DEPARTMENT,KEPALA PROYEK,0.9797,0.9041666666666668,0.02,0.98837,1.0,1.0
391.0,199700167,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK JALAN YETTI MAMBERAMO,PROJECT DEPARTMENT,KEPALA PROYEK,1.0,0.9947916666666669,0.02,1.01921875,1.0711111111111111,0.0
393.0,200500293,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK PEMBANGUNAN BENDUNGAN BOLANGO ULU,PROJECT DEPARTMENT,SITE MANAGER,0.975,1.0,0.015,0.99375,1.0725925925925928,1.0
394.0,201200686,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK PEMBANGUNAN MASJID RAYA BONE,PROJECT DEPARTMENT,KEPALA PROYEK,1.0,0.9239583333333334,0.01,0.99859375,1.0133333333333332,1.0
396.0,198900022,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK PRESERVASI JALAN SINJAI-WATAMPONE,PROJECT DEPARTMENT,KEPALA PROYEK,0.966,0.9072916666666668,0.015,0.97219375,1.008888888888889,1.0
398.0,198700016,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK SAMBERA,PROJECT DEPARTMENT,KEPALA PROYEK,0.984,0.98125,0.01,0.9935875,1.0711111111111111,0.8
399.0,200700331,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK STASIUN KA,PROJECT DEPARTMENT,KEPALA PROYEK,0.93,0.9947916666666669,0.02,0.95971875,1.017777777777778,0.0
400.0,201200675,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK STASIUN KA,PROJECT DEPARTMENT,PROJECT MANAGER,0.979,0.9354166666666668,0.015,0.9874625,1.1155555555555556,1.0
401.0,199700163,PT. BUMI KARSA,OPERATIONAL LEADERS,PROYEK SUNGAI BOGOWONTO YOGYAKARTA,PROJECT DEPARTMENT,PROJECT MANAGER,1.0,1.0,0.025,1.025,1.0733333333333333,1.0
403.0,199700166,PT. BUMI KARSA,OPERATIONAL LEADERS,REPRESENTATIVE OFFICE,PROJECT DEPARTMENT,PROJECT MANAGER,0.96,0.9729166666666668,0.015,0.9769374999999999,1.0933333333333335,0.6
404.0,198700020,PT. BUMI KARSA,OPERATIONAL LEADERS,REPRESENTATIVE OFFICE,PROJECT DEPARTMENT,PROJECT MANAGER,0.9,0.9989583333333334,0.025,0.93984375,1.0444444444444445,1.0
405.0,201200670,PT. BUMI KARSA,OPERATIONAL LEADERS,UNIT,JO/JVC/POOL DEPARTMENT,DIREKTUR TEKNIK,0.965,0.96875,0.01,0.9755624999999999,1.0822222222222222,0.0
406.0,199590691,PT. BUMI KARSA,OPERATIONAL LEADERS,UNIT,JO/JVC/POOL DEPARTMENT,MANAGER ENGINEERING,0.996,0.9494791666666668,0.0,0.989021875,1.0044444444444445,0.0
407.0,200891052,PT. BUMI KARSA,OPERATIONAL LEADERS,UNIT,JO/JVC/POOL DEPARTMENT,MANAGER LOGISTIC,0.75,1.0,0.0,0.7875,1.0,0.0
408.0,202191042,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,ACCOUNTING DEPARTMENT,COST ACCOUNTING STAFF (EQUIPMENT & PLANT),1.0,0.9671875,0.0,0.995078125,1.062857142857143,1.0
409.0,202191041,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,ACCOUNTING DEPARTMENT,COST ACCOUNTING STAFF (HO),1.0,0.9958333333333332,0.005,1.004375,1.0,1.0
410.0,201190478,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,EQUIPMENT EVALUATION & ERP SENIOR STAFF,0.981,0.996875,0.02,1.00338125,1.1714285714285715,0.0
411.0,200990469,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,EQUIPMENT HSE SENIOR STAFF,0.97,1.0,0.03,1.0045,1.0,0.65
412.0,199590484,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,EQUIPMENT MOBILIZATION SENIOR STAFF,0.992,0.9958333333333332,0.01,1.002575,1.1714285714285715,0.0
413.0,200790503,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,EQUIPMENT ORDER SENIOR STAF,0.981,0.9213541666666668,0.015,0.987053125,1.0514285714285716,0.0
414.0,199690541,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MECHANIC,0.99,1.0,0.0,0.9915,1.002857142857143,0.0
415.0,201090549,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MECHANIC,0.99,0.996875,0.0,0.99103125,1.0171428571428571,0.0
416.0,201990534,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MEKANIK BUBUT,0.981,0.9848958333333332,0.0,0.981584375,1.0,0.0
417.0,201390575,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MEKANIK ELEKTRISI,0.981,1.0,0.0,0.98385,1.0,0.0
418.0,201490490,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.981,1.0,0.0,0.98385,1.0,0.0
419.0,198890543,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.99,1.0,0.0,0.9915,1.0,0.0
420.0,198990565,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,MEKANIK LAS,0.981,1.0,0.0,0.98385,1.0,0.0
421.0,199490487,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.99,1.0,0.0,0.9915,1.0,0.0
422.0,199090602,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR SENIOR STAFF,1.0,0.775,0.01,0.97625,1.0514285714285716,1.0
423.0,201890608,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR STAFF,0.927,0.5781249999999999,0.01,0.88466875,0.8828571428571428,0.575
424.0,201801132,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,HUMAN CAPITAL DEPARTMENT,HCBP STAFF,0.936,0.9354166666666668,0.03,0.9659125,1.002857142857143,1.0
425.0,201490632,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,NON-STAF,GENERAL AFFAIR STAFF,1.0,0.7520833333333334,0.02,0.9828125,1.0,1.0
426.0,201790635,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,"PLANNING, RESEARCH & DEVELOPMENT DEPARTMENT",TEKNIK WILAYAH STAFF,0.983,0.9864583333333332,0.015,0.99851875,1.0057142857142858,1.0
427.0,199390697,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,PURCHASING DEPARTMENT,ADMINISTRATOR GUDANG STAFF,0.93,0.925,0.01,0.93925,0.9228571428571428,0.9
428.0,200790695,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,PURCHASING DEPARTMENT,GUDANG SPAREPART & SISA PROYEK STAFF,0.963,0.9744791666666668,0.015,0.979721875,0.9742857142857143,0.75
429.0,199290696,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,PURCHASING DEPARTMENT,PENGADAAN SPAREPART ALAT ANGKUT & ALAT PRODUKSI SENIOR STAFF,0.919,0.7114583333333334,0.01,0.89786875,1.002857142857143,0.55
430.0,201490694,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,PURCHASING DEPARTMENT,PENGADAAN SPAREPART ALAT BERAT SENIOR STAFF,1.0,0.7781250000000001,0.015,0.98171875,1.0,1.0
431.0,199090692,PT. BUMI KARSA,STAFF/OPERATOR,HEAD OFFICE,PURCHASING DEPARTMENT,TRANSPORTER,0.909,0.925,0.0,0.9114,0.9485714285714285,0.75
432.0,202191029,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,ACCOUNTING DEPARTMENT,AKUNTANSI PROYEK STAFF,1.0,0.9963541666666668,0.005,1.004453125,1.0,0.0
433.0,202191030,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,ACCOUNTING DEPARTMENT,AKUNTANSI PROYEK STAFF,1.0,0.990625,0.015,1.0135937499999998,1.0,0.0
434.0,201190450,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,ACCOUNTING DEPARTMENT,COST ACCOUNTING STAFF (EQUIPMENT & PLANT),1.0,1.0,0.015,1.015,1.0,1.0
435.0,199090517,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,KEPALA PERALATAN,0.981,1.0,0.0,0.98385,1.0,0.0
436.0,201690475,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.99,1.0,0.0,0.9915,1.0,0.0
437.0,200890561,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.99,1.0,0.0,0.9915,1.0,0.0
438.0,198990563,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.99,1.0,0.0,0.9915,1.0,0.0
439.0,198990572,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,OPERATOR ALAT BERAT,0.99,1.0,0.0,0.9915,1.1542857142857144,0.0
440.0,199090522,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.99,1.0,0.0,0.9915,1.0,0.0
441.0,198690570,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.99,1.0,0.0,0.9915,1.1542857142857144,0.0
442.0,198990594,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,EQUIPMENT DEPARTMENT,SOPIR ALAT ANGKUT,0.99,1.0,0.0,0.9915,1.1542857142857144,0.0
443.0,200990598,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,FINANCE DEPARTMENT,AP CONTROL STAFF,0.972,0.878125,0.04,0.99791875,1.0285714285714287,1.0
444.0,201890595,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,FINANCE DEPARTMENT,AR CONTROL & CASHLOAN STAFF,1.0,0.8854166666666666,0.025,1.0078125,1.0342857142857145,1.0
445.0,200990600,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,FINANCE DEPARTMENT,CASHIER STAFF,0.972,0.878125,0.015,0.9729187499999999,1.0,1.0
446.0,201890596,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,FINANCE DEPARTMENT,JAMINAN & AR REG STAFF,0.9667,0.8885416666666667,0.01,0.96497625,1.04,1.0
447.0,201490599,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,FINANCE DEPARTMENT,VERIFIKASI SENIOR STAFF,0.971,0.8526041666666667,0.015,0.968240625,1.0342857142857145,1.0
448.0,201990604,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR STAFF,0.958,1.0,0.01,0.9742999999999999,1.0,1.0
449.0,201590605,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,GENERAL AFFAIR DEPARTMENT,GENERAL AFFAIR STAFF,0.98,0.775,0.015,0.9642499999999999,1.0,1.0
450.0,199890601,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,GENERAL AFFAIR DEPARTMENT,SECRETARY,0.985,0.7739583333333334,0.01,0.9633437499999999,1.0257142857142858,0.9
451.0,201903677,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,HUMAN CAPITAL DEPARTMENT,HCBP STAFF,0.927,0.9484375,0.025,0.955215625,1.0171428571428571,1.0
452.0,201903678,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,HUMAN CAPITAL DEPARTMENT,HCBP STAFF,0.974,0.9619791666666668,0.01,0.982196875,1.0257142857142858,1.0
453.0,201790610,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,LEGAL DEPARTMENT,LEGAL ADMINISTRATOR,0.951,0.79375,0.025,0.9524124999999999,1.0,1.0
454.0,201990611,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,LEGAL DEPARTMENT,LEGAL ADMINISTRATOR,0.952,0.9302083333333332,0.015,0.9637312499999999,1.0,1.0
455.0,201890615,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,NON-STAF,OFFICE DRIVER,0.983,0.803125,0.0,0.95601875,1.0,0.0
456.0,201990634,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,"PLANNING, RESEARCH & DEVELOPMENT DEPARTMENT",ESTIMATOR STAFF,0.945,0.9848958333333332,0.05,1.0009843749999998,1.0085714285714287,1.0
457.0,201790636,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,"PLANNING, RESEARCH & DEVELOPMENT DEPARTMENT",ESTIMATOR STAFF,1.0,0.990625,0.01,1.00859375,1.0,1.0
458.0,202191051,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,PROJECT DEPARTMENT,ENGINEER BUSINESS DEVELOPMENT STAFF,0.957,0.909375,0.005,0.9548562499999999,1.0771428571428574,0.0
459.0,201090699,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,PURCHASING DEPARTMENT,PERSEDIAAN PROYEK & PLANT DAN INDIRECT PROCUREMENT SENIOR STAFF,0.887,0.71875,0.01,0.8717625,1.0,0.75
460.0,201090700,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,QMS & HSE DEPARTMENT,DOCUMENT QUALITY CONTROL SENIOR STAFF,1.0,0.990625,0.02,1.01859375,1.002857142857143,1.0
461.0,201801134,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,QMS & HSE DEPARTMENT,ERP SENIOR STAFF,1.0,0.99375,0.03,1.0290625,1.0314285714285716,0.0
462.0,201890701,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,QMS & HSE DEPARTMENT,ERP SENIOR STAFF,1.0,0.9833333333333334,0.025,1.0225,1.06,1.0
463.0,201690702,PT. BUMI KARSA,STAFF/OPERATOR,HEADQUARTERS,TECHNICAL ADMNITSTRATION DEPARTMENT,TECHNICAL ADMINISTRATION SENIOR STAFF,1.0,1.0,0.01,1.01,1.1714285714285715,1.0
